Week End,Season,Measure,Age Group,Race/Ethnicity,Sex,Population Size,Count,Percent
09/23/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Other, non-Latinx",All Sexes,18857,70,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Other, non-Latinx",All Sexes,18857,149,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Other, non-Latinx",All Sexes,18857,243,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Other, non-Latinx",All Sexes,18857,338,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Other, non-Latinx",All Sexes,18857,443,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Other, non-Latinx",All Sexes,18857,529,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Other, non-Latinx",All Sexes,18857,570,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,Unknown,All Sexes,,0,
09/23/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,Unknown,All Sexes,,249,
09/30/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,Unknown,All Sexes,,519,
10/07/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,Unknown,All Sexes,,912,
10/14/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,Unknown,All Sexes,,1319,
10/21/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,Unknown,All Sexes,,1563,
10/28/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,Unknown,All Sexes,,1587,
11/04/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,Unknown,All Sexes,,1605,
09/16/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"White, non-Latinx",All Sexes,195561,26,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"White, non-Latinx",All Sexes,195561,1193,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"White, non-Latinx",All Sexes,195561,2529,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"White, non-Latinx",All Sexes,195561,4244,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"White, non-Latinx",All Sexes,195561,6021,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"White, non-Latinx",All Sexes,195561,7452,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"White, non-Latinx",All Sexes,195561,8014,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"White, non-Latinx",All Sexes,195561,8268,0.0
